name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
LINK-0930,True,False,0.0005,0.1,0.1,7.612,7.657,7.676,7.657,future,future,,False,,LINK,False,False,2500.0,-0.014289392378990731,-0.06473677781849273,-0.0165681993321346,586880.3117,586880.3117,8.5275,7.585,
LINK-1230,True,False,0.0005,0.1,0.1,7.5585,7.5455,7.5935,7.5585,future,future,,False,,LINK,False,False,2500.0,-0.018376623376623376,-0.06506277444492548,-0.01684443288241415,145923.97665,145923.97665,8.3935,7.509,
LINK/BTC,True,False,5e-08,0.1,0.1,0.0003994,0.0003989,0.00039955,0.0003994,spot,,LINK,False,BTC,,False,True,1200.0,0.0016300940438871473,-0.06932308050798089,-0.0015,178.176126335,3419686.2851935443,0.0004466,0.00039355,
LINK/USD,True,False,0.0005,0.1,0.1,7.669,7.66,7.6625,7.6625,spot,,LINK,False,USD,,False,True,2000.0,-0.013835263835263836,-0.06452203638139421,-0.013581359423274974,20191901.7796,20191901.7796,8.5375,7.5745,
LINK/USDT,True,False,0.0005,0.1,0.1,7.663,7.6555,7.6645,7.663,spot,,LINK,False,USDT,,False,True,1400.0,-0.013389983262520921,-0.06348915368163764,-0.013961268738338802,3691072.11585,3691195.139283621,8.5375,7.57,
LOOKS-PERP,True,False,0.00025,1.0,1.0,0.19725,0.197,0.1975,0.19725,future,perpetual,,False,,LOOKS,False,False,350.0,-0.030712530712530713,0.03543307086614173,0.015444015444015444,2728127.84175,2728127.84175,0.20475,0.18975,
LOOKS/USD,True,False,0.00025,1.0,1.0,0.1975,0.19675,0.19725,0.19725,spot,,LOOKS,False,USD,,False,True,280.0,-0.03190184049079755,0.032722513089005235,0.014138817480719794,468517.1635,468517.1635,0.20525,0.18975,
LRC-PERP,True,False,5e-05,1.0,1.0,0.2973,0.29715,0.29725,0.29725,future,perpetual,,False,,LRC,False,False,350.0,-0.012458471760797342,0.014332025251663539,-0.017680105750165234,3338363.38185,3338363.38185,0.31,0.2921,
LRC/USD,True,False,5e-05,1.0,1.0,0.2966,0.2967,0.29735,0.2967,spot,,LRC,False,USD,,False,True,280.0,-0.013958125623130608,0.011937244201909959,-0.0186869522077063,38341.17765,38341.17765,0.3098,0.2922,
LTC-PERP,True,False,0.01,0.01,0.01,53.1,53.1,53.11,53.1,future,perpetual,,False,,LTC,False,False,2500.0,-0.00969787392763894,0.003022289384208538,-0.005245410266017235,16745798.8866,16745798.8866,54.15,52.76,
LTC-0930,True,False,0.01,0.01,0.01,53.04,53.08,53.1,53.08,future,future,,False,,LTC,False,False,2500.0,-0.010624417520969246,0.0026445032111824707,-0.005247376311844078,1503326.5707,1503326.5707,54.11,52.76,
